order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD247853,ID6221450530,2019-04-09,Bakers,"[('iAssist Line', 1), ('Olivia x460', 2)]",4675.0,80.17,-37.8088514,144.98326269999995,10.0,4287.67,Autumn,True,1.0603,"five stars works great! received my order well before the expected delivery date, worked exactly as hoped right off the bat.",1.0
ORD305684,ID0580311159,2019-05-05,Thompson,"[('iStream', 2), ('pearTV', 1), ('Toshika 750', 1), ('Lucent 330S', 2)]",13390.0,88.54,-37.8046039,144.9102956,15.0,11470.04,Autumn,True,3.3565,very good reliable great photos good battery,1.0
ORD477000,ID4957761333,2019-06-20,Thompson,"[('Toshika 750', 1), ('Candle Inferno', 1), ('Alcon 10', 2)]",22650.0,71.76,-37.8249823,144.9289443,25.0,17059.26,Winter,False,2.1018,amazing and fast great phone and fast performance i needed a new phone asap totally worth it!!!!,1.0
ORD179721,ID0660546015,2019-07-22,Bakers,"[('iStream', 2), ('Olivia x460', 2), ('Toshika 750', 2), ('pearTV', 2)]",24010.0,48.09,-37.8122352,144.98987030000004,0.0,24058.09,Winter,False,0.5334,k no era lo k esperaba me decepciona ya van varias veces k tengo k regresar los alcon k compro y2 me an salido así o muy raspados esa luz como k no o k opinan me sorprende k dicen k expertos lo checan y voy a creer k no vean eso ósea esta bien k sean baratos pero k no manden cosas k no sirven lo use por mas tiempo pero ya no funciono la bocina,0.0
ORD342143,ID4516260665,2019-09-07,Thompson,"[('Thunder line', 1), ('Alcon 10', 2), ('Universe Note', 2)]",26980.0,100.85,-37.8081032,144.9477129,25.0,20335.85,Spring,True,1.0981,five stars works fine,1.0
ORD305389,ID0163373952,2019-06-05,Thompson,"[('pearTV', 2), ('Olivia x460', 1), ('Thunder line', 1)]",16025.0,61.61,-37.8139398,144.9541885,5.0,15285.36,Winter,True,0.6418,it is terrible to buy a new phone with this technology and ... the front facing camera produces a failed error and does not work. it is terrible to buy a new phone with this technology and be disappointed for not having all the functions working. many reviews around internet naming this issue.,0.0
ORD342828,ID0364329268,2019-02-28,Thompson,"[('Thunder line', 2), ('Toshika 750', 2), ('iAssist Line', 1), ('Lucent 330S', 2)]",17685.0,103.68,-37.8010969,144.9607109,5.0,16904.43,Summer,True,1.7607,"convoy phone love it , the battery life lasts longer than my smart phone. a good little second phone to own and use",1.0
ORD333887,ID0547569041,2019-10-06,Thompson,"[('Toshika 750', 2), ('pearTV', 2), ('Lucent 330S', 2), ('iStream', 1)]",23870.0,74.64,-37.8103133,144.9883833,15.0,20364.14,Spring,False,1.0981,"xiaomi makes a great phone for the money, and always updated. yes i like the idea of android one. it's great to have a earphone jack or a headset jack.",1.0
ORD133398,ID4787373725,2019-03-20,Nickolson,"[('Olivia x460', 2), ('Toshika 750', 1), ('Thunder line', 1)]",8950.0,62.17,-37.817417,144.9675646,5.0,8564.67,Autumn,False,0.2184,"great phone! this phone is great! i bought for my husband , his asus phone broke ... i have an lg g7 and compared to mine(i know alot older 😂), this phone is amazing! the picture quality is so much better and clearer. and the battery lasts for a long time !",1.0
ORD394994,ID2358053047,2019-03-25,Bakers,"[('Universe Note', 1), ('Lucent 330S', 2), ('Alcon 10', 1), ('Olivia x460', 2)]",17310.0,48.65,-37.81211070000001,144.9886884,15.0,14762.15,Autumn,False,0.6218,"dont’ buy it. phone worked for a little over a month, just past the return deadline. it is a pos. let the buyer beware.",0.0
ORD100037,ID0168377580,2019-03-29,Nickolson,"[('Alcon 10', 2), ('iAssist Line', 2)]",22350.0,51.83,-37.8117055,144.9603483,15.0,19049.33,Autumn,False,1.1149,"battery dies out within 3 months, very poor customer support this s8+ only worked for about 3 months, then the battery life reduced significantly, it is not reliable anymore",0.0
ORD090847,ID3293340276,2019-01-20,Nickolson,"[('Universe Note', 1), ('pearTV', 2), ('Lucent 330S', 1), ('iAssist Line', 1)]",19525.0,76.84,-37.8239116,144.98174430000003,25.0,14720.59,Summer,False,1.2247,it’s a good phone for the money very nice phone but with the pixel 3a out now the value isn’t as high.,1.0
ORD264959,ID3945799004,2019-10-13,Nickolson,"[('Lucent 330S', 2), ('Thunder line', 2), ('Olivia x460', 1)]",8045.0,62.05,-37.8149016,144.9607464,0.0,8107.05,Spring,False,0.8766,trash this phone is trash. my phone died and cannot be fixed. the battery charging port will go bad. not had 6 months now,0.0
ORD123131,ID2202858905,2019-07-14,Thompson,"[('Olivia x460', 1), ('iStream', 2)]",1525.0,66.04,-37.8217657,144.9538903,15.0,1362.29,Winter,False,1.1766,i live this phone!!! this is a great mid-range phone it does everything i wanted to do and it even has a fingerprint scanner and the battery life is amazing i only charge my phone about once every 2 or even sometimes every 3 days. i would recommend,1.0
ORD228886,ID0650275631,2019-02-10,Nickolson,"[('Candle Inferno', 2), ('Universe Note', 2), ('Olivia x460', 2), ('iAssist Line', 2)]",14660.0,96.42,-37.8135539,144.98060890000005,5.0,14023.42,Summer,True,1.1227,olivia note 5 love my phone love the size great purchase,1.0
ORD129738,ID0361771651,2019-02-03,Bakers,"[('Candle Inferno', 2), ('Thunder line', 1), ('Universe Note', 2), ('Lucent 330S', 2)]",12400.0,69.62,-37.7998612,144.9786891,5.0,11849.62,Summer,False,1.8411,one star phone was deemed fraudulent by verizon so stay the away from this phone.,0.0
ORD410777,ID5301568584,2019-01-10,Thompson,"[('iStream', 1), ('Olivia x460', 1), ('iAssist Line', 1)]",3600.0,75.94,-37.80874220000001,144.9422614,25.0,2792.29,Summer,True,0.6085,good one excellent,1.0
ORD279054,ID0582800718,2019-04-21,Nickolson,"[('Olivia x460', 2), ('Candle Inferno', 1), ('pearTV', 1)]",9190.0,78.0,-37.8161544,144.9723661,15.0,7889.5,Autumn,True,0.3675,"p3 good phone display is excellent, the battery life is average.",1.0
ORD494727,ID5290706355,2019-01-12,Nickolson,"[('Universe Note', 1), ('Alcon 10', 1), ('Thunder line', 2)]",16760.0,75.94,-37.80813320000001,144.97617409999995,15.0,14324.28,Summer,False,1.3021,"five stars great product,,,, good value,,,,",1.0
ORD418891,ID6167266618,2019-06-02,Thompson,"[('Thunder line', 1), ('Toshika 750', 1), ('Alcon 10', 2), ('iAssist Line', 2)]",28850.0,65.13,-37.8114868,144.9645604,15.0,24587.63,Winter,False,1.0981,"five stars excelent product, thanks !!",1.0
ORD391406,ID2422388313,2019-04-25,Thompson,"[('iAssist Line', 1), ('Olivia x460', 2), ('Thunder line', 1)]",6855.0,74.77,-37.8051758,144.91243280000003,15.0,5901.52,Autumn,False,3.1584,photos of phone would have been nice to view prior to purchase but the description was ... received item in lightning speed. phone exactly as described. photos of phone would have been nice to view prior to purchase but the description was very detailed. great seller!,1.0
ORD413752,ID0176668193,2019-12-24,Nickolson,"[('Thunder line', 2), ('iAssist Line', 2), ('Universe Note', 2), ('Olivia x460', 1)]",16935.0,91.56,-37.812987,144.9649265,5.0,16179.81,Summer,True,0.745,five stars great,1.0
ORD144248,ID0317537930,2019-02-19,Nickolson,"[('Toshika 750', 1), ('Olivia x460', 2), ('Universe Note', 2)]",13670.0,76.41,-37.8094486,144.9721165,25.0,10328.91,Summer,False,1.0428,definitely a really good buy for first time buyers of smart home stuff =]i bought 3 =],1.0
ORD107357,ID0547568845,2019-04-17,Thompson,"[('Thunder line', 2), ('iStream', 2)]",4660.0,66.48,-37.8167066,144.98869309999995,0.0,4726.48,Autumn,False,0.9427,the phone itself is awesome. although when i received my phone its box ... the phone itself is awesome. although when i received my phone its box had a tear and was not sealed. the sim card was missing for the phone. digico made this right and i was reimbursed for the sim card. the phone is great.,1.0
ORD176063,ID3215191991,2019-11-01,Thompson,"[('Olivia x460', 1), ('Candle Inferno', 1), ('Toshika 750', 2), ('iAssist Line', 2)]",14745.0,61.91,-37.8057831,144.9520778,5.0,14069.66,Spring,False,0.8845,"not good it was a used phone , scratch , apps store doesn’t work and so many.",0.0
ORD112385,ID1463656488,2019-11-02,Thompson,"[('iAssist Line', 1), ('Olivia x460', 2)]",4675.0,103.51,-37.8158734,144.9996785,10.0,4311.01,Spring,True,0.7622,most important to know why me too deaf i excited with my new olivia universe note 5 white 64gb comfortably more memory better than old 32gb very slow wait loaded.....loaded......low memory....throw out. thank digico with your hearts...,1.0
ORD184835,ID0168384030,2019-07-10,Thompson,"[('iStream', 2), ('Toshika 750', 1), ('iAssist Line', 1), ('Olivia x460', 2)]",9295.0,75.94,-37.8113803,144.9597365,15.0,7979.08,Winter,True,1.1233,"perfect do not worry! for everyone one bad review theres probs 10 people who forgot to write a good review, works 100% just like new",1.0
ORD015268,ID2776394279,2019-06-04,Nickolson,"[('Universe Note', 1), ('Toshika 750', 1), ('iAssist Line', 1), ('iStream', 2)]",10295.0,75.94,-37.812029,144.9635865,5.0,9856.11,Winter,True,0.8996,three stars speaker has obviously been blown out. battery is alright. dies half way through day.,1.0
ORD054240,ID6167236647,2019-03-30,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 1), ('iStream', 2), ('pearTV', 2)]",17670.0,80.42,-37.813157,144.9588659,10.0,15983.42,Autumn,True,1.0389,"loved it! very nice, beautiful, long life battery. better then windows 7, good camera and lots of new apps. it’s worth it.",1.0
ORD072315,ID3887190863,2019-08-18,Nickolson,"[('Thunder line', 1), ('iStream', 1), ('Universe Note', 2)]",9230.0,76.45,-37.8167231,144.9769207,10.0,8383.45,Winter,True,0.6807,waterproof great phone,1.0
ORD135974,ID1479897545,2019-07-27,Nickolson,"[('Alcon 10', 2), ('Olivia x460', 1)]",19125.0,67.32,-37.8201307,144.9583071,0.0,19192.32,Winter,False,1.0034,surprising me every day purchase it for my job as i had a budget of 550usd and it has all i need. i am also user of a s10plus for my own phone line. this s10e has a nice hand fit size. perfect for pockets and easy to handle.,1.0
ORD360792,ID0588197310,2019-08-04,Nickolson,"[('iAssist Line', 2), ('iStream', 2)]",4750.0,61.1,-37.8121265,144.9737639,10.0,4336.1,Winter,True,0.8098,phone is lock it is can't run for digico flex app.,0.0
ORD261838,ID2441346320,2019-05-08,Bakers,"[('Candle Inferno', 2), ('Lucent 330S', 1), ('Olivia x460', 1), ('iAssist Line', 2)]",7765.0,78.84,-37.804722,144.98409919999995,0.0,7843.84,Autumn,True,1.1416,pixel very nice very good,1.0
ORD116409,ID3163980373,2019-11-14,Thompson,"[('Thunder line', 2), ('pearTV', 1), ('iStream', 1), ('Lucent 330S', 1)]",12050.0,90.06,-37.8024464,144.9573361,10.0,10935.06,Spring,True,1.4531,the wifi would drop often to where i could not listen to spotify or other services without buffering.,1.0
ORD365967,ID0283255338,2019-08-27,Bakers,"[('Alcon 10', 2), ('Thunder line', 1), ('Toshika 750', 2)]",28720.0,51.79,-37.8039824,145.0075865,15.0,24463.79,Winter,False,1.2762,horrible!!! they sold me a phone that was reported lost or stolen. no longer works! i totally don't recommend i lost my money.,0.0
ORD478027,ID0282854637,2019-11-18,Bakers,"[('iStream', 2), ('Olivia x460', 1), ('Candle Inferno', 2), ('iAssist Line', 1)]",4610.0,113.86,-37.8020123,145.0202706,15.0,4032.36,Spring,True,2.3747,great phone so far so good!!!!!,1.0
ORD118086,ID0762836096,2019-05-24,Thompson,"[('Thunder line', 2), ('Lucent 330S', 2)]",6820.0,66.05,-37.80390429999999,144.9368881,0.0,6886.05,Autumn,False,1.0981,very nice phone christmas present for my son. he really likes it. he wanted a newer model but is very happy with this one.,1.0
ORD266775,ID0583473317,2019-01-12,Bakers,"[('Thunder line', 2), ('Candle Inferno', 1)]",4790.0,89.56,-37.8057988,144.9947996,0.0,4879.56,Summer,True,0.4688,"two thumbs up 😄😄😄😄 i immediately fell in love with this phone. also, the shipping came faster than what i thought.",1.0
ORD395679,ID1650033638,2019-04-26,Bakers,"[('Toshika 750', 1), ('iAssist Line', 2)]",8770.0,54.91,-37.8200745,145.0150325,0.0,8824.91,Autumn,False,2.0714,lock phone phone is not unlock i would have bought this phone if i knew it was locked.,1.0
ORD313426,ID4716795711,2019-10-30,Thompson,"[('Lucent 330S', 2), ('iStream', 2)]",2760.0,76.86,-37.8192399,144.9529087,15.0,2422.86,Spring,False,0.8933,ok for $$ ok for $$,1.0
ORD280695,ID6197211585,2019-02-17,Thompson,"[('iAssist Line', 2), ('Alcon 10', 1), ('Olivia x460', 1)]",14625.0,75.94,-37.8150301,144.9328364,10.0,13261.26,Summer,True,1.2788,"great phone! works like a charm, it's neither to bulky nor to wide. battery charges very fast, but only gives about a day or two worth of charge. great camera with nice features. its speed is very efficient.",1.0
ORD097606,ID4909776715,2019-08-01,Bakers,"[('Toshika 750', 2), ('iAssist Line', 1), ('iStream', 2), ('pearTV', 1)]",17475.0,79.63,-37.82152720000001,145.0018593,10.0,15807.13,Winter,True,1.4097,"works well. i really like the bigger screen (up from the 7""). easier to read, just as easier to use if not better.",1.0
ORD215766,ID6245731020,2019-04-26,Nickolson,"[('Candle Inferno', 1), ('Lucent 330S', 2), ('Thunder line', 1)]",5070.0,79.06,-37.8106616,144.9762036,5.0,4895.56,Autumn,True,1.0593,"three stars good design, sturdy but very slow.",1.0
ORD134819,ID3213448201,2019-02-28,Thompson,"[('Olivia x460', 2), ('Candle Inferno', 1), ('Lucent 330S', 1), ('pearTV', 1)]",10420.0,67.25,-37.8034359,144.9627121,0.0,10487.25,Summer,False,1.7176,one star the phone was a stolen phone! i found out after it was activated.,0.0
ORD142266,ID0349918075,2019-07-06,Bakers,"[('pearTV', 1), ('Universe Note', 1)]",9760.0,69.96,-37.8202868,145.00815780000005,15.0,8365.96,Winter,False,1.6138,"pixel 4 is the best pear fans always try to make this amazing phone fail, am owning the pixel 4 and its the best phone ever ! , skip the bad comments from google haters and buy it",1.0
ORD455906,ID0248969231,2019-04-06,Bakers,"[('Alcon 10', 1), ('Olivia x460', 2)]",11400.0,67.15,-37.7986268,144.98118290000005,15.0,9757.15,Autumn,True,1.7688,"not verizon compatible i ordered a verizon phone, i expected to get a version compatible phone. the product is now worthless to me.",0.0
ORD158193,ID0844475791,2019-09-25,Thompson,"[('Thunder line', 2), ('Toshika 750', 1), ('Olivia x460', 1), ('pearTV', 1)]",16215.0,78.3,-37.8224816,144.9474929,25.0,12239.55,Spring,False,1.0925,"love it! bought it used. still in amazing condition. one tiny little scratch by the rear camera lens. phone works like a dream. i got one for me and one for my husband. verizon offered an upgrade, we stayed with our s6 edge!",1.0
ORD369964,ID2766300602,2019-10-30,Nickolson,"[('Universe Note', 1), ('Olivia x460', 2), ('Candle Inferno', 2)]",6760.0,109.34,-37.8033452,144.9694125,25.0,5179.34,Spring,True,1.6976,great quality as advertised,1.0
ORD151121,ID0202495424,2019-03-16,Thompson,"[('Thunder line', 1), ('Universe Note', 2), ('Alcon 10', 2)]",26980.0,83.15,-37.80184000000001,144.9287179,5.0,25714.15,Autumn,True,1.0981,"three stars it works fine, except often i get a warning about the sm card. the battery drains pretty quickly too.",1.0
ORD236467,ID0560985140,2019-10-13,Thompson,"[('Universe Note', 2), ('Toshika 750', 1), ('Olivia x460', 1), ('pearTV', 2)]",25065.0,59.12,-37.81754829999999,144.9465439,0.0,25124.12,Spring,False,0.5446,one star when the articulated reached me i had to pay around 26 dollars more,0.0
ORD474725,ID0580158980,2019-08-28,Thompson,"[('iAssist Line', 2), ('Olivia x460', 2)]",6900.0,68.7,-37.7996716,144.93703440000004,25.0,5243.7,Winter,False,1.6952,"good phone for price! nice phone, fast with easy setup. seems",1.0
ORD294752,ID0571731484,2019-10-11,Thompson,"[('Olivia x460', 2), ('Candle Inferno', 1)]",2880.0,81.04,-37.8244539,144.9451246,5.0,2817.04,Spring,False,1.3225,nice pre-paid phone for the price it is all i need even has a camera. i use it for emergencies only and it works great. easy to use.,1.0
ORD290517,ID2702095693,2019-09-11,Bakers,"[('Lucent 330S', 1), ('iAssist Line', 1), ('Toshika 750', 1)]",7775.0,99.58,-37.8106277,144.9904765,10.0,7097.08,Spring,True,0.4241,"great as a device to read books. i like that it links with my borrowed library e-books. switched from another popular tablet brand and i am happy with the choice i made. it took some time to get books from my previous non-candle reader, but finally figured out a way!",1.0
ORD108512,ID0591351414,2019-01-17,Thompson,"[('iAssist Line', 1), ('Alcon 10', 1), ('Olivia x460', 2), ('iStream', 1)]",13775.0,77.85,-37.8209194,144.956098,25.0,10409.1,Summer,False,1.2109,"five stars this is my first smart phone,so looks good.",1.0
ORD267205,ID0307349677,2019-11-05,Bakers,"[('Thunder line', 2), ('Lucent 330S', 1), ('iStream', 2)]",5890.0,105.83,-37.8101846,144.9809416,15.0,5112.33,Spring,True,1.257,five stars great phone. just as advertised!,1.0
ORD439993,ID0145245938,2019-12-15,Nickolson,"[('iAssist Line', 1), ('Lucent 330S', 1)]",3455.0,72.65,-37.8167395,144.9602506,25.0,2663.9,Summer,False,0.8435,love it awesome phone,1.0
ORD458540,ID4326586215,2019-04-30,Thompson,"[('Toshika 750', 2), ('Olivia x460', 2)]",11090.0,66.14,-37.8161408,144.9640636,25.0,8383.64,Autumn,False,1.0981,"great i bought it for my daughter, it’s great. i hope y’all still have good quality phones because i gotta get my son one in november.",1.0
ORD294216,ID2457712020,2019-06-26,Bakers,"[('iStream', 1), ('Alcon 10', 2)]",18050.0,83.0,-37.803343100000006,144.9783502,0.0,18133.0,Winter,True,1.6592,"teenage boys got this as a gift for my son and he loves it...said it was the best phone he's ever had since he was born, he only 14. lol",1.0
ORD099708,ID0582798975,2019-11-07,Nickolson,"[('Lucent 330S', 1), ('Toshika 750', 1)]",5550.0,105.26,-37.8224076,144.9831835,15.0,4822.76,Spring,True,1.2717,bought this for our granddaughter. she absolutely loves it! easy for her to learn how to operate.,1.0
ORD442950,ID0634784108,2019-12-21,Thompson,"[('iStream', 1), ('Candle Inferno', 2)]",1010.0,76.77,-37.8144943,144.938064,10.0,985.77,Summer,True,0.8174,don’t waste your money i have had this phone for 2 months. today the charging port no longer works. i was told it would cost more than i paid for the phone to have it fixed. absolutely ridiculous and i am very unsatisfied.,0.0
ORD084126,ID0767746315,2019-12-31,Nickolson,"[('Universe Note', 2), ('Lucent 330S', 1), ('Olivia x460', 2)]",10580.0,102.11,-37.8037808,144.97373159999995,5.0,10153.11,Summer,True,1.6896,"watch out for burn in wonderful phone, still glad i bought it. screen burn in starting to occur at the nav bar and notification bar, its minor and the phone is refurb so i'm sure it's the original panel, but still, be ready for burn in right after you recieve it",1.0
ORD195887,ID0266739853,2019-02-18,Bakers,"[('Olivia x460', 1), ('Universe Note', 1), ('pearTV', 2), ('Alcon 10', 2)]",35195.0,104.64,-37.8246794,144.9923015,10.0,31780.14,Summer,True,1.6547,i installed a driver for google play store; also i payed digico to get rid of the lock screen ads ($15). it was worth it. i use this thing alot.,1.0
ORD325666,ID4735688740,2019-01-20,Thompson,"[('Alcon 10', 2), ('pearTV', 2), ('Lucent 330S', 2)]",32980.0,94.47,-37.8040466,144.9489811,0.0,33074.47,Summer,True,0.9749,"sleek phone it's a nice phone, fits perfectly in your hands. the camera is not the best out there tho, especially when zooming, but overall a nice phone.",1.0
ORD176278,ID4733727876,2019-06-26,Thompson,"[('Candle Inferno', 2), ('Toshika 750', 2)]",9500.0,79.91,-37.8044436,144.9492177,15.0,8154.91,Winter,True,0.9354,"good deal, great product! this phone has worked flawlessly and was a great deal.",1.0
ORD139475,ID0591351811,2019-01-05,Nickolson,"[('iStream', 1), ('Lucent 330S', 2), ('Thunder line', 2), ('Universe Note', 1)]",10420.0,75.34,-37.8206961,144.9568595,10.0,9453.34,Summer,False,1.1403,"best value for money like new alcon. was a present to my wife, she loves it. thank you",1.0
ORD330065,ID2776396944,2019-05-09,Thompson,"[('Thunder line', 2), ('pearTV', 1), ('Universe Note', 2)]",17570.0,51.95,-37.81306220000001,144.963566,0.0,17621.95,Autumn,False,1.0981,"one star not a new phone, malfunctioning right out of the box, flickering white screen over everything.",0.0
ORD476618,ID0144720250,2019-04-23,Nickolson,"[('pearTV', 2), ('Toshika 750', 2), ('Olivia x460', 1), ('Candle Inferno', 2)]",23345.0,67.47,-37.819967,144.9572895,5.0,22245.22,Autumn,False,1.089,"it is good you get what you paid for an more. it's not bad at all. the phone is actually very good quality and so far, have not gotten any problems with it. a little of lagg but it is a very great day to day phone.",1.0
ORD404124,ID0781093319,2019-06-27,Thompson,"[('pearTV', 2), ('Universe Note', 2)]",19520.0,50.45,-37.8030255,144.94885580000005,5.0,18594.45,Winter,False,1.0854,mistake i think its too bad to send items without a supervision because i think this happened.. if i know that have any defect i would not have bought it.. anyway i will continue shopping here because i have always had a good experience with my accessories..,0.0
