order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD196236,ID5668009782,2019-08-27,Bakers,"[('iAssist Line', 2), ('Universe Note', 1), ('Toshika 750', 2), ('Alcon 10', 2)]",34440,63.89,-37.80437420000001,145.00136519999995,5,32781.89,Winter,False,0.8262,"bought the tablet on black friday to replace a 4 year old nexus 7. liked it so much that i purchased another a week later at full price. bright clear screen, good battery life, expandable memory, fast and easy to use. no complaints.",True
ORD437158,ID0581708340,2019-09-12,Thompson,"[('Toshika 750', 2), ('Candle Inferno', 1)]",9070,68.57,-37.8057961,144.9295725,15,7778.07,Spring,False,1.7187,"wtf i got a empty box ,i want a refund.",False
ORD225200,ID0250933656,2019-10-19,Bakers,"[('Candle Inferno', 1), ('pearTV', 1), ('iStream', 2)]",7040,85.68,-37.8252603,145.0004236,25,5365.68,Spring,False,1.7594,"same phone 1/3 the cost using it now. loaded right up. easy setup, i actually like this black better than the blue. i should have bought here instead of getting ripped by sprint for a new phone.",True
ORD258858,ID6167489486,2019-06-18,Nickolson,"[('Universe Note', 2), ('pearTV', 2), ('Lucent 330S', 1)]",20750,75.17,-37.8174039,144.96197019999997,0,20825.17,Winter,True,0.6797,"s7 edge feels a little bit cheap but i think it's good. i've had a universe s7 edge before and it's pretty good. could be better though but all in all, it's okay 👍",True
ORD147776,ID2834982472,2019-12-10,Bakers,"[('Alcon 10', 2), ('Olivia x460', 1), ('pearTV', 1), ('Universe Note', 1)]",28885,67.76,-37.8121739,145.014645,5,27508.51,Summer,False,1.7244,"bought stollen phone this was a stollen phone caused a lot of unnecessary stress , and waisted time !! verizon cut my service because it was a stollen phone and l had to go in to get it straightened out. this phone was supposed to have been refurbished and checked out . apparently it wasn’t ever done !!!",False
ORD394845,ID0709977448,2019-01-17,Thompson,"[('Lucent 330S', 1), ('Olivia x460', 2), ('Candle Inferno', 2), ('Universe Note', 2)]",11440,95.73,-37.8151294,144.93525469999997,25,8675.73,Summer,True,1.0743,nice basic used phone nice basic used phone. good price and condition used. didn't want to waste money being ripped off by the phone provider when i lost my last one.,True
ORD327668,ID0387153020,2019-11-25,Thompson,"[('Lucent 330S', 1), ('iAssist Line', 1), ('Candle Inferno', 2), ('Toshika 750', 2)]",12955,117.93,-37.8061125,144.9430057,0,13072.93,Spring,False,0.8131,five stars my husband loves those,True
ORD117359,ID6231506302,2019-11-20,Nickolson,"[('Toshika 750', 2), ('Alcon 10', 1), ('iStream', 2)]",17890,99.28,-37.8244434,144.9702946,25,13516.78,Spring,True,0.6543,"five stars fantastic phone, had no sim card, but works geeat",True
ORD106749,ID0092159611,2019-12-13,Nickolson,"[('Alcon 10', 2), ('Candle Inferno', 1), ('Lucent 330S', 1), ('pearTV', 2)]",32180,88.97,-37.8191774,144.9655193,5,30659.97,Summer,True,0.3604,"simple and reliable. i like it! this phone is exactly what i wanted. simple, direct and reliable. it even has a few upgrades that my old flip phone didn't have. this was a good buy.",True
ORD231397,ID3924911403,2019-07-08,Nickolson,"[('Lucent 330S', 1), ('Toshika 750', 2)]",9870,64.84,-37.81330420000001,144.96560490000005,10,8947.84,Winter,False,0.6836,"excellent phone @ $249 excellent phone, basically a economic universe s9 but cheaper($249). i got this phone for my 12 years old daughter and i can say that is amazing. fingerprints sensorr, face recognition. olivia one ui, good battery life, good screen. honest review from an s10+ owner.",True
