line_in_material|local_file|url
1|images/area-chart/area-chart-intro.png|http://www.tuzhidian.com:3001/upload/images/2019/%E9%9D%A2%E7%A7%AF%E5%9B%BE_f816563e72cd53bd178c95560497f29a.png
24|images/area-chart/area-chart-elemental-composition.jpeg|http://139.224.62.3:3001/upload/images/network/1549126400621-63f16a96-22e1-415f-865b-0319041aeb12.jpeg
34|images/area-chart/area-chart-inapplicable-unordered-categories.png|http://139.224.62.3:3001/upload/images/network/1547797386342-28407ec2-49d8-4567-b0e6-a9e47e82e4df.png
36|images/area-chart/area-chart-unordered-use-bar-instead.png|http://139.224.62.3:3001/upload/images/network/1548240757524-521af458-9850-497f-a4bb-4fd8b734a5dd.png
40|images/area-chart/area-chart-overlap-transparency-limit.png|http://139.224.62.3:3001/upload/images/network/1548655808446-17f7ed66-f829-460e-9ee3-2e199371e0c7.png?x-oss-process=image/resize,w_716
45|images/area-chart/stacked-area-chart-intro.png|http://www.tuzhidian.com:3001/upload/images/2019/%E5%A0%86%E5%8F%A0%E9%9D%A2%E7%A7%AF%E5%9B%BE_0f8690b8c2dbb32e299c3f4e78a8938f.png
59|images/area-chart/stacked-area-chart-elemental-composition.jpeg|http://139.224.62.3:3001/upload/images/network/1549171615251-5b516b44-e76e-4778-8159-bbb048be1a42.jpeg
67|images/area-chart/stacked-area-chart-use-stacked-bar-for-categories.png|http://139.224.62.3:3001/upload/images/network/1548588576522-1ec55fca-8f6f-4def-8bd4-affc4f62dbe5.png
75|images/area-chart/stacked-area-vs-streamgraph.png|http://139.224.62.3:3001/upload/images/network/1548591070843-155e10b9-d1f9-4087-b228-11edbcc90b17.png
75-gif|images/area-chart/streamgraph-animation.gif|https://cdn.nlark.com/yuque/0/2019/gif/204492/1548676781839-b602ff13-3624-4b32-9602-c1e6bcc9c7c3.gif
datawrapper-01|images/area-chart/area-chart-use-only-for-time.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/area-charts/98b38f66ac-1740123104/rule2-copy-11.png
datawrapper-02|images/area-chart/area-chart-total-and-shares-important.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/area-charts/54541fe64d-1740123104/rule2-copy-9.png
datawrapper-03|images/area-chart/area-chart-large-differences-better.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/area-charts/b94a9c49e5-1740123104/rule2-copy-17.png
datawrapper-04|images/area-chart/area-chart-multiple-values-over-time.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/area-charts/dc2dd6a864-1740123104/rule2-copy-21.png
datawrapper-05|images/area-chart/area-chart-many-dates-better.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/area-charts/2e4de511ec-1740123104/rule2-copy-22.png
datawrapper-06|images/area-chart/area-chart-not-best-for-share-comparison.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/area-charts/5133338dd7-1740123104/rule2-copy-20.png
datawrapper-07|images/area-chart/area-chart-important-series-at-bottom.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/area-charts/bf2d702e85-1740123104/rule2-copy-15.png
datawrapper-08|images/area-chart/area-chart-direct-labeling.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/area-charts/540d7871fd-1740123104/rule2-copy-18.png
datawrapper-09|images/area-chart/area-chart-annotations-highlight-ranges.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/area-charts/31aef6451c-1740123104/rule2-copy-16.png
datawrapper-10|images/area-chart/area-chart-group-small-values.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/area-charts/7db1af8fd2-1740123104/rule2-copy-19.png
