line_in_material|local_file|url
5|images/bar-chart/bar-chart-intro.png|http://www.tuzhidian.com:3001/upload/images/2019/%E6%9F%B1%E7%8A%B6%E5%9B%BE_9f39bc5bbcfe804eb645cb70806ebaeb.png
25|images/bar-chart/bar-elemental-composition.jpeg|http://139.224.62.3:3001/upload/images/network/1549020386225-16886544-a69a-490d-bd2a-233753d0bedd.jpeg
31|images/bar-chart/bar-applicable-close-values.jpeg|http://139.224.62.3:3001/upload/images/network/1549015598579-8ffa639b-912b-4bda-bcfb-ce88f92e5479.jpeg?x-oss-process=image/resize,w_880
37|images/bar-chart/bar-vs-histogram-discrete-vs-continuous.jpeg|http://139.224.62.3:3001/upload/images/network/1549176359593-40cea5b4-8b43-4607-a60a-70bc154de67c.jpeg?x-oss-process=image/resize,w_860
41|images/bar-chart/bar-truncated-axis-misleading.jpeg|http://139.224.62.3:3001/upload/images/network/1549176967033-98504ab5-63b2-4af9-9484-ab96bb23fdaf.jpeg?x-oss-process=image/resize,w_860
47|images/bar-chart/stacked-bar-intro.png|http://www.tuzhidian.com:3001/upload/images/2019/%E5%A0%86%E5%8F%A0%E6%9F%B1%E7%8A%B6%E5%9B%BE_d430245a883c411aeafaff37104ca0cd.png
65|images/bar-chart/stacked-bar-elemental-composition.jpeg|http://www.tuzhidian.com:3001/upload/images/2019/%E5%A0%86%E5%8F%A0%E6%9F%B1%E7%8A%B6%E5%9B%BE_a668eebbfff97100922b03874035d54a.jpeg
73|images/bar-chart/stacked-bar-city-sales.png|http://139.224.62.3:3001/upload/images/network/1547128224473-93df7826-685d-461e-a985-f3be8782f08c.png
79|images/bar-chart/stacked-bar-dynamic-baseline.png|https://cdn.nlark.com/yuque/0/2019/gif/185307/1548470352207-9c8bb1ac-a119-4930-9199-9f72eb3efb9f.gif
83|images/bar-chart/stacked-bar-too-many-series.png|http://139.224.62.3:3001/upload/images/network/1548381585865-6366468e-36f0-42f1-8875-4cde9f5832c6.png
87|images/bar-chart/hundred-percent-stacked-intro.png|http://www.tuzhidian.com:3001/upload/images/2019/100%E5%A0%86%E5%8F%A0%E6%9F%B1%E7%8A%B6%E5%9B%BE_9d356a7b1e9672b225fc5ca9a3f5967e.png
103|images/bar-chart/hundred-percent-stacked-elements.jpeg|http://139.224.62.3:3001/upload/images/network/1549097617643-657d81fe-892d-45c0-9abc-cc2f0c43a67a.jpeg
115|images/bar-chart/hundred-percent-stacked-comparison-limit.jpeg|http://139.224.62.3:3001/upload/images/network/1549105613173-5cafedd5-35e8-427a-a482-bf9ecff43608.jpeg?x-oss-process=image/resize,w_520
121|images/bar-chart/histogram-intro.png|http://www.tuzhidian.com:3001/upload/images/2019/%E7%9B%B4%E6%96%B9%E5%9B%BE_90d08a95da2f8bfc1e8f0937a58ef439.png
141|images/bar-chart/histogram-elemental-composition.jpeg|http://139.224.62.3:3001/upload/images/network/1549174272072-69b45f68-bfd4-4074-8534-2110b457b97a.jpeg
151|images/bar-chart/histogram-not-bar-example.jpeg|http://139.224.62.3:3001/upload/images/network/1549175247068-bff24b0b-cb53-472e-a88f-3316c97cebf2.jpeg?x-oss-process=image/resize,w_860
datawrapper-01|images/bar-chart/truncated-baseline-deceptive-comparison.png|https://d33v4339jhl8k0.cloudfront.net/docs/assets/588089eddd8c8e484b24e90a/images/6059aac6207e3b1188e1ef8a/file-g9K5yKbS9Q.png
datawrapper-02|images/bar-chart/truncated-baseline-alternative-dot-plot.png|https://d33v4339jhl8k0.cloudfront.net/docs/assets/588089eddd8c8e484b24e90a/images/6059ab5324ce107ab4d184bf/file-gDaiVToFZS.png
datawrapper-03|images/bar-chart/truncated-baseline-alternative-line-chart.png|https://d33v4339jhl8k0.cloudfront.net/docs/assets/588089eddd8c8e484b24e90a/images/6059ab8c3f70ab34d9ba1ef5/file-byTNd4cL1m.png
datawrapper-04|images/bar-chart/truncated-baseline-alternative-differences.png|https://d33v4339jhl8k0.cloudfront.net/docs/assets/588089eddd8c8e484b24e90a/images/6059ac2d0ad05379b10cf98b/file-FC7iAYOg8K.png
pinera-01|images/bar-chart/truncated-baseline-pinera-campaign.jpeg|http://139.224.62.3:3001/upload/images/network/1547625190962-5187573e-e703-41d6-8a78-a78b0e06f18c.jpeg?x-oss-process=image/resize,w_906
datawrapper-stacked-column-34|images/bar-chart/stacked-column-guidance-34-compare-total-one-part.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/stacked-column-charts/5f685c4685-1740123105/Artboard-1-copy-34.png
