line_in_material|local_file|url
1|images/line-chart/line-chart-intro.png|http://www.tuzhidian.com:3001/upload/images/2019/%E6%8A%98%E7%BA%BF%E5%9B%BE_fd5faae15fa0d92fd29936a0c56807aa.png
3|images/line-chart/line-chart-elemental-composition.png|http://139.224.62.3:3001/upload/images/network/1550046325665-82b39640-116d-49f3-8eb7-ce2e140af4a0.png
4|images/line-chart/line-chart-applicable-time-trend.png|http://139.224.62.3:3001/upload/images/network/1547818461434-379f5863-1b5a-42f1-a443-a12c93c31247.png?x-oss-process=image/resize,w_796
5|images/line-chart/line-chart-applicable-multi-series.png|http://139.224.62.3:3001/upload/images/network/1548740361196-3f4c2f34-92c6-480b-a5a4-699b97edd9a1.png?x-oss-process=image/resize,w_802
6|images/line-chart/line-chart-inapplicable-too-many-x-nodes.png|http://139.224.62.3:3001/upload/images/network/1547820464720-69ddcde6-2393-458c-959d-f773fce76e0d.png
8|images/line-chart/line-chart-inapplicable-too-many-lines.png|http://139.224.62.3:3001/upload/images/network/1547820281158-843fcc9f-5ed7-4db9-a6d9-6e961adfaf08.png
datawrapper-01|images/line-chart/line-chart-bar-vs-line-choice.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/line-charts/968006dec7-1740123105/Artboard-1-copy-32-1.png
datawrapper-02|images/line-chart/line-chart-zero-baseline-when-near-zero.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/line-charts/66f72c9016-1740123105/2.png
datawrapper-03|images/line-chart/line-chart-line-vs-area-sum-important.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/line-charts/efb8a3a867-1740123105/rule2-copy-7.png
datawrapper-04|images/line-chart/line-chart-few-points-vs-many-values.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/line-charts/023b82fde3-1740123105/rule2-copy-29.png
datawrapper-05|images/line-chart/line-chart-add-comparison-context.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/line-charts/a5a8097894-1740123105/Artboard-1-copy-31.png
datawrapper-06|images/line-chart/line-chart-emphasis-by-style.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/line-charts/d8ecb5fd2f-1740123105/Artboard-1-copy-25.png
datawrapper-07|images/line-chart/line-chart-annotations-highlight-ranges.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/line-charts/db1d79dce4-1740123105/unnamed-file-1.png
datawrapper-08|images/line-chart/line-chart-symbols-for-irregular-intervals.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/line-charts/71c7f93b92-1740123104/1.png
datawrapper-09|images/line-chart/line-chart-direct-labeling.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/line-charts/49283e0f11-1740123105/4.png
datawrapper-10|images/line-chart/line-chart-smoothing-caution.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/line-charts/16b2a34f33-1740123105/5.png
infragistics-01|images/line-chart/line-chart-axis-zero-start.png|https://www.infragistics.com/blogs/wp-content/uploads/2015/05/image-1.png
infragistics-02|images/line-chart/line-chart-axis-focused-range.png|https://www.infragistics.com/blogs/wp-content/uploads/2015/05/image-2.png
infragistics-03|images/line-chart/line-chart-axis-bottom-crash-problem.png|https://www.infragistics.com/blogs/wp-content/uploads/2015/05/image-3.png
infragistics-04|images/line-chart/line-chart-axis-extended-range.png|https://www.infragistics.com/blogs/wp-content/uploads/2015/05/image-4.png
infragistics-05|images/line-chart/line-chart-axis-suppress-x-axis-line.png|https://www.infragistics.com/blogs/wp-content/uploads/2015/05/image-5.png
infragistics-06|images/line-chart/line-chart-axis-labels-moved-top.png|https://www.infragistics.com/blogs/wp-content/uploads/2015/05/image-6.png
infragistics-07|images/line-chart/line-chart-axis-fade-effect.png|https://www.infragistics.com/blogs/wp-content/uploads/2015/05/image-7.png
