line_in_material|local_file|url
3|images/pie-chart/pie-chart-intro.png|http://www.tuzhidian.com:3001/upload/images/2019/%E9%A5%BC%E5%9B%BE_ff4270c4c477f75845ba82ff696bf904.png
29|images/pie-chart/pie-chart-applicable-scenario.jpeg|http://139.224.62.3:3001/upload/images/network/1548843706598-f5925a02-c6e2-4c69-aa86-8e6d194ce00d.jpeg
39|images/pie-chart/pie-chart-inapplicable-close-values.jpeg|http://139.224.62.3:3001/upload/images/network/1548843959370-e81a6eba-88d1-4f07-8a69-8625ff270700.jpeg
43|images/pie-chart/pie-chart-inapplicable-too-many-categories.jpeg|http://139.224.62.3:3001/upload/images/network/1548844025444-ce1af3f7-a65a-4075-8d37-748d560335f7.jpeg
datawrapper-01|images/pie-chart/pie-chart-best-at-25-50-75.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/pie-charts/013b68291b-1740123104/rule2-copy-6.png
datawrapper-02|images/pie-chart/pie-chart-not-best-for-share-comparison.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/pie-charts/ad3f07bfd9-1740123104/rule2-copy-5.png
datawrapper-03|images/pie-chart/pie-chart-few-values-max-five.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/pie-charts/882a588a94-1740123104/rule2-copy-27.png
datawrapper-04|images/pie-chart/pie-chart-two-values-maybe-no-chart.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/pie-charts/5a6f241cbc-1740123104/rule2-copy-28.png
datawrapper-05|images/pie-chart/pie-chart-one-total-only.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/pie-charts/9e2d9601b1-1740123104/rule2-copy-24.png
datawrapper-06|images/pie-chart/pie-chart-use-color-to-highlight.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/pie-charts/8e48e18aeb-1740123104/rule2-copy-23.png
datawrapper-07|images/pie-chart/pie-chart-label-small-slices-outside.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/pie-charts/235e6b3a3b-1740123104/rule2-copy-25.png
datawrapper-08|images/pie-chart/pie-chart-group-small-slices-others.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/pie-charts/22b4529536-1740123104/rule2-copy-26.png
datawrapper-09|images/pie-chart/pie-chart-margin-or-sidebar-placement.png|https://datawrapper.de/cdn-cgi/image/quality=85,width=1891,f=auto,fit=cover/https://kirby.datawrapper.de/media/pages/blog/pie-charts/8172f8f0b7-1740123104/rule2-copy-28-1.png
